Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-21,11:38:56,13:18:43,01:39:47,00:31:22,46,1,14.73,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-21,13:53:21,15:20:26,01:27:05,00:34:38,22,1,14.65,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-21,15:54:15,17:27:44,01:33:29,00:33:49,44,1,13.4,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-21,17:52:57,20:53:01,03:00:04,00:25:13,37,1,15.19,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-21,Vehiculo: 01,,,13:20:10,03:27:07,242,"8,00",113.13,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-22,05:41:19,07:04:10,01:22:51,00:00:00,33,1,14.34,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,07:31:38,09:13:06,01:41:28,00:27:28,38,1,13.79,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,09:58:13,12:01:03,02:02:50,00:45:07,44,1,14.9,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,12:35:12,14:18:00,01:42:48,00:34:09,14,1,14.77,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-22,15:03:23,17:02:00,01:58:37,00:45:23,46,1,13.68,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,17:05:10,19:14:02,02:08:52,00:03:10,45,1,14.11,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,20:08:05,20:59:29,00:51:24,00:54:03,23,1,7.62,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-22,20:59:52,22:28:22,01:28:30,00:00:23,21,1,14.75,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-22,Vehiculo: 01,,,13:17:20,03:29:43,264,"8,00",107.96,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-23,07:47:54,09:50:38,02:02:44,00:00:00,39,1,14.41,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,09:50:38,11:49:50,01:59:12,00:00:00,23,1,14.85,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,12:04:42,13:46:39,01:41:57,00:14:52,46,1,15.21,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,16:10:59,17:11:59,01:01:00,02:24:20,29,1,7.63,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,17:15:10,19:11:26,01:56:16,00:03:11,44,1,15.17,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,19:37:59,20:57:18,01:19:19,00:26:33,26,1,13.3,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,21:00:24,22:06:52,01:06:28,00:03:06,40,1,14.24,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-23,22:18:24,23:51:07,01:32:43,00:11:32,18,1,13.06,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-23,Vehiculo: 01,,,12:39:39,03:23:34,265,"8,00",107.87,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-24,05:21:26,06:56:55,01:35:29,00:00:00,38,1,14.85,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,07:17:41,09:06:08,01:48:27,00:20:46,23,1,14.07,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,09:38:28,11:25:25,01:46:57,00:32:20,13,1,15.09,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-24,12:13:10,13:11:39,00:58:29,00:47:45,9,1,7.76,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,14:32:35,16:42:28,02:09:53,01:20:56,29,1,14.88,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-24,16:54:32,18:31:07,01:36:35,00:12:04,36,1,12.38,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,18:50:33,20:24:53,01:34:20,00:19:26,40,1,14.2,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,20:31:22,22:01:40,01:30:18,00:06:29,28,1,14.3,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-24,22:09:34,23:15:51,01:06:17,00:07:54,24,1,13.38,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-24,Vehiculo: 01,,,14:06:45,03:47:40,240,"9,00",120.91,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-25,05:42:06,07:18:07,01:36:01,00:00:00,44,1,15.21,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-25,07:49:09,09:28:17,01:39:08,00:31:02,32,1,13.22,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-25,09:51:20,11:41:14,01:49:54,00:23:03,18,1,14.81,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-25,12:18:46,13:09:19,00:50:33,00:37:32,18,1,6.53,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-25,15:10:50,17:04:54,01:54:04,02:01:31,30,1,14.16,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-25,17:07:35,19:18:30,02:10:55,00:02:41,34,1,15.28,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-25,19:57:48,20:59:11,01:01:23,00:39:18,25,1,7.59,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-25,21:07:50,22:39:02,01:31:12,00:08:39,31,1,13.61,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-25,Vehiculo: 01,,,12:33:10,04:23:46,232,"8,00",100.41,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-26,06:37:53,08:37:16,01:59:23,00:00:00,43,1,14.35,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-26,09:27:33,11:18:02,01:50:29,00:50:17,26,1,13.08,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-26,11:40:18,13:38:18,01:58:00,00:22:16,32,1,11.2,85 1 HONDA - ORIENTAL - HONDA,Ver
