Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-16,07:28:18,09:27:29,01:59:11,01:08:35,42,1,13.82,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-16,10:10:27,12:14:14,02:03:47,00:42:58,22,1,14.59,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-16,12:45:22,14:43:08,01:57:46,00:31:08,38,1,14.87,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-16,15:18:39,17:41:42,02:23:03,00:35:31,36,1,14.7,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-16,18:14:54,19:38:55,01:24:01,00:33:12,35,1,12.23,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-16,Vehiculo: 08,,,11:18:20,03:31:24,218,"6,00",84.54,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-17,05:02:58,06:38:52,01:35:54,00:00:00,52,1,14.96,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-17,07:46:45,08:41:13,00:54:28,01:07:53,37,1,6.57,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-17,10:54:46,12:47:40,01:52:54,02:13:33,38,1,15.3,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-17,13:01:02,15:19:55,02:18:53,00:13:22,28,1,14.84,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-17,16:35:58,18:10:34,01:34:36,01:16:03,40,1,13.65,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-17,18:14:33,19:58:12,01:43:39,00:03:59,34,1,13.64,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-17,Vehiculo: 08,,,10:00:24,04:54:50,229,"6,00",78.96,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-18,05:12:30,06:52:24,01:39:54,00:00:00,49,1,15.35,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-18,07:42:28,09:17:43,01:35:15,00:50:04,27,1,14.38,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-18,10:20:57,13:26:31,03:05:34,01:03:14,41,1,14.25,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-18,14:03:08,16:17:26,02:14:18,00:36:37,40,1,14.96,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-18,16:31:31,18:12:22,01:40:51,00:14:05,31,1,12.7,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-18,19:03:55,21:26:31,02:22:36,00:51:33,34,1,7.85,85 4 HONDA - MINORISTA - HONDA,Ver
Fecha: 2024-07-18,Vehiculo: 08,,,12:38:28,03:35:33,222,"6,00",79.49,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-19,06:30:17,08:56:04,02:25:47,00:00:00,29,1,16.07,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-19,08:56:38,10:53:28,01:56:50,00:00:34,44,1,14.99,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-19,11:31:45,13:14:29,01:42:44,00:38:17,34,1,13.71,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-19,14:10:27,16:19:00,02:08:33,00:55:58,33,1,14.82,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-19,16:56:28,18:51:27,01:54:59,00:37:28,43,1,13.9,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-19,18:51:56,20:53:41,02:01:45,00:00:29,38,1,15.98,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-19,Vehiculo: 08,,,12:10:38,02:12:46,221,"6,00",89.47,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-21,04:36:44,05:04:19,00:27:35,00:00:00,14,1,7.03,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-21,06:34:47,07:34:22,00:59:35,01:30:28,9,1,13.32,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-21,08:14:08,09:48:07,01:33:59,00:39:46,33,1,15.78,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-21,10:21:02,11:56:36,01:35:34,00:32:55,48,1,14.89,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-21,12:19:33,13:52:46,01:33:13,00:22:57,35,1,14.02,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-21,14:21:03,15:51:33,01:30:30,00:28:17,42,1,14.69,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-21,16:15:05,17:44:30,01:29:25,00:23:32,9,1,14.59,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-21,18:10:28,19:59:31,01:49:03,00:25:58,49,1,15.8,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-21,Vehiculo: 08,,,10:58:54,04:23:53,239,"8,00",110.12,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-22,06:16:11,07:55:56,01:39:45,00:00:00,37,1,13.95,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-22,08:26:12,09:20:25,00:54:13,00:30:16,20,1,6.87,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-22,11:40:18,13:41:26,02:01:08,02:19:53,22,1,16.45,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-22,14:03:41,15:53:19,01:49:38,00:22:15,63,1,13.78,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-22,16:28:52,18:28:27,01:59:35,00:35:33,54,1,14.09,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-22,18:34:23,20:48:37,02:14:14,00:05:56,42,1,15.37,85 4 HONDA - MINORISTA - HONDA,Ver
Fecha: 2024-07-22,Vehiculo: 08,,,10:38:33,03:53:53,238,"6,00",80.51,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-23,05:57:55,08:01:50,02:03:55,00:00:00,50,1,15.48,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-23,08:12:50,10:18:15,02:05:25,00:11:00,27,1,14.94,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-23,10:55:39,13:19:15,02:23:36,00:37:24,23,1,15.72,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-23,13:45:54,15:43:32,01:57:38,00:26:39,24,1,14.68,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-23,16:51:03,18:04:09,01:13:06,01:07:31,31,1,8.06,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-23,18:05:20,20:06:52,02:01:32,00:01:11,41,1,15.56,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-23,Vehiculo: 08,,,11:45:12,02:23:45,196,"6,00",84.44,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-24,05:11:39,06:32:36,01:20:57,00:00:00,27,1,14.37,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-24,07:11:41,09:08:08,01:56:27,00:39:05,26,1,14.89,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-24,09:08:08,11:12:07,02:03:59,00:00:00,31,1,15.1,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-24,11:38:34,13:25:13,01:46:39,00:26:27,32,1,14,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-24,Vehiculo: 08,,,07:08:02,01:05:32,116,"4,00",58.36,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-25,06:13:43,08:01:55,01:48:12,00:00:00,34,1,12.77,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-25,08:32:14,10:16:07,01:43:53,00:30:19,17,1,14.7,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-25,10:52:20,12:48:11,01:55:51,00:36:13,52,1,16.31,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-25,12:49:24,14:01:05,01:11:41,00:01:13,7,0.5,7.79,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-25,16:28:00,17:42:58,01:14:58,02:26:55,35,0.5,6.88,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-25,18:48:25,19:57:00,01:08:35,01:05:27,27,1,5.64,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-25,Vehiculo: 08,,,09:03:10,04:40:07,172,"5,00",64.09,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-26,06:27:57,08:18:30,01:50:33,00:00:00,38,1,10.23,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-26,09:12:20,11:21:44,02:09:24,00:53:50,43,1,11.08,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-26,11:31:59,13:48:14,02:16:15,00:10:15,29,1,10.1,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-26,13:55:30,15:30:17,01:34:47,00:07:16,36,1,9.76,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-26,15:33:18,17:47:20,02:14:02,00:03:01,31,1,11.28,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-26,18:06:44,19:45:47,01:39:03,00:19:24,31,1,12.92,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-26,19:45:47,21:24:14,01:38:27,00:00:00,32,1,14.86,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-26,22:11:09,23:02:04,00:50:55,00:46:55,20,1,7.84,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-26,Vehiculo: 08,,,14:13:26,02:20:41,260,"8,00",88.07,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-28,04:42:38,05:51:56,01:09:18,00:00:00,8,1,14.74,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-28,06:34:43,08:00:34,01:25:51,00:42:47,38,1,14.04,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-28,08:15:37,10:09:11,01:53:34,00:15:03,29,1,14.16,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-28,10:38:02,12:36:08,01:58:06,00:28:51,22,1,15.65,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-28,12:38:46,14:16:55,01:38:09,00:02:38,33,1,13,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-28,14:33:09,16:10:11,01:37:02,00:16:14,53,1,11.97,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-28,16:36:11,18:05:56,01:29:45,00:26:00,44,1,12.78,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-28,18:52:11,20:27:32,01:35:21,00:46:15,38,1,11.44,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-28,Vehiculo: 08,,,12:47:06,02:57:48,265,"8,00",107.78,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-29,06:08:31,06:58:24,00:49:53,00:00:00,21,1,4.74,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-29,08:33:42,10:22:11,01:48:29,01:35:18,14,1,10.25,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-29,11:00:31,12:57:43,01:57:12,00:38:20,25,1,9.21,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-29,13:48:01,16:21:28,02:33:27,00:50:18,27,1,11.21,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-29,16:21:28,18:04:12,01:42:44,00:00:00,28,1,12.6,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-29,18:35:02,20:13:57,01:38:55,00:30:50,21,1,10.85,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-29,20:16:36,21:31:48,01:15:12,00:02:39,27,1,12,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-29,Vehiculo: 08,,,11:45:52,03:37:25,163,"7,00",70.86,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
08,2024-07-30,06:32:09,08:41:33,02:09:24,00:00:00,38,1,12.87,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-30,09:27:07,10:19:10,00:52:03,00:45:34,25,1,5.67,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-30,14:02:50,16:04:54,02:02:04,03:43:40,28,1,11.18,85 4 HONDA - MINORISTA - HONDA,Ver
08,2024-07-30,16:25:18,18:31:23,02:06:05,00:20:24,55,1,13.19,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-30,18:45:23,20:23:48,01:38:25,00:14:00,38,1,11.53,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-30,20:38:14,21:58:11,01:19:57,00:14:26,27,1,13.62,85 1 HONDA - ORIENTAL - HONDA,Ver
08,2024-07-30,22:14:55,23:32:12,01:17:17,00:16:44,11,1,11.8,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-30,Vehiculo: 08,,,11:25:15,05:34:48,222,"7,00",79.86,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-15,04:58:37,05:39:09,00:40:32,00:00:00,39,1,7.68,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-15,06:42:39,08:47:16,02:04:37,01:03:30,50,1,15.62,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-15,09:35:24,10:55:56,01:20:32,00:48:08,20,1,15.22,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-15,11:15:12,13:27:58,02:12:46,00:19:16,39,1,15.92,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-15,13:37:31,15:23:43,01:46:12,00:09:33,40,1,13.72,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-15,16:03:53,17:31:55,01:28:02,00:40:10,32,1,11.55,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-15,18:17:06,18:47:58,00:30:52,00:45:11,3,0.5,8.76,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-15,18:49:34,19:54:17,01:04:43,00:01:36,39,0.5,7.67,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-15,Vehiculo: 09,,,11:08:16,03:47:24,262,"7,00",96.14,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-16,04:52:45,06:19:37,01:26:52,00:00:00,30,1,14.91,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-16,07:03:38,09:09:31,02:05:53,00:44:01,62,1,15.13,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-16,09:45:57,11:31:45,01:45:48,00:36:26,33,1,14.11,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-16,12:15:27,14:21:30,02:06:03,00:43:42,24,1,14.88,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-16,15:12:33,17:02:18,01:49:45,00:51:03,27,1,14.76,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-16,17:09:37,19:09:00,01:59:23,00:07:19,48,1,13.56,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-16,19:11:04,20:45:57,01:34:53,00:02:04,28,1,14.12,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-16,Vehiculo: 09,,,12:48:37,03:04:35,252,"7,00",101.47,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-17,04:56:52,06:21:24,01:24:32,00:00:00,44,1,16.02,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-17,07:19:50,08:54:13,01:34:23,00:58:26,40,1,13.1,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-17,15:19:12,17:16:22,01:57:10,06:24:59,44,1,14.99,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-17,17:16:22,18:46:55,01:30:33,00:00:00,50,1,13.83,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-17,19:12:40,20:32:40,01:20:00,00:25:45,31,1,12.91,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-17,Vehiculo: 09,,,07:46:38,07:49:10,209,"5,00",70.85,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-18,05:11:23,06:30:46,01:19:23,00:00:00,49,1,14.22,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-18,07:22:23,09:28:39,02:06:16,00:51:37,52,1,15.06,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-18,10:12:01,12:12:05,02:00:04,00:43:22,27,1,15.05,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-18,12:12:05,15:15:03,03:02:58,00:00:00,41,1,16.55,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-18,16:09:17,18:14:12,02:04:55,00:54:14,46,1,13.73,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-18,18:28:15,20:19:09,01:50:54,00:14:03,39,1,12.39,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-18,Vehiculo: 09,,,12:24:30,02:43:16,254,"6,00",87,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-19,06:11:58,07:05:33,00:53:35,00:00:00,47,1,8.25,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-19,08:30:54,10:37:43,02:06:49,01:25:21,48,1,13.61,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-19,11:23:29,13:30:56,02:07:27,00:45:46,38,1,14.97,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-19,14:35:26,16:45:11,02:09:45,01:04:30,46,1,13.31,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-19,16:52:39,18:37:51,01:45:12,00:07:28,55,1,14.88,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-19,19:26:39,20:28:58,01:02:19,00:48:48,37,1,7.49,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-19,Vehiculo: 09,,,10:05:07,04:11:53,271,"6,00",72.51,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-21,04:57:39,06:03:40,01:06:01,00:00:00,3,1,13.3,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-21,06:44:42,07:57:56,01:13:14,00:41:02,7,1,13.75,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-21,08:28:35,09:56:12,01:27:37,00:30:39,31,1,12.82,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-21,10:17:21,10:55:50,00:38:29,00:21:09,24,1,6.52,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-21,12:28:21,13:33:19,01:04:58,01:32:31,33,1,11.27,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-21,Vehiculo: 09,,,05:30:19,03:05:21,98,"5,00",57.66,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-25,18:56:25,20:01:15,01:04:50,00:00:00,34,1,8.05,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-25,Vehiculo: 09,,,01:04:50,00:00:00,34,"1,00",8.05,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-26,05:42:12,06:19:05,00:36:53,00:00:00,27,1,7.91,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-26,08:18:04,10:34:30,02:16:26,01:58:59,22,1,12.23,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-26,10:47:13,13:03:27,02:16:14,00:12:43,36,1,11.88,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-26,13:05:04,14:47:17,01:42:13,00:01:37,32,1,11.63,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-26,14:51:54,17:04:45,02:12:51,00:04:37,32,1,15.45,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-26,17:41:40,19:23:42,01:42:02,00:36:55,60,1,13.87,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-26,19:46:42,21:15:43,01:29:01,00:23:00,52,1,13.86,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-26,Vehiculo: 09,,,12:15:40,03:17:51,261,"7,00",86.83,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-27,05:36:20,07:26:12,01:49:52,00:00:00,44,1,15.07,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-27,08:57:21,11:09:06,02:11:45,01:31:09,11,1,16,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-27,11:33:25,13:44:17,02:10:52,00:24:19,46,1,14.96,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-27,15:16:19,16:57:42,01:41:23,01:32:02,45,1,14.55,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-27,17:23:59,18:43:40,01:19:41,00:26:17,15,1,14.83,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-27,18:48:43,20:20:57,01:32:14,00:05:03,17,1,13.8,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-27,20:22:04,21:51:18,01:29:14,00:01:07,55,1,15,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-27,21:58:47,23:14:00,01:15:13,00:07:29,33,1,14.17,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-27,Vehiculo: 09,,,13:30:14,04:07:26,266,"8,00",118.38,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-29,06:23:15,08:11:41,01:48:26,00:00:00,51,1,14.47,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-29,08:44:05,10:56:14,02:12:09,00:32:24,53,1,13.65,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-29,11:17:32,13:38:14,02:20:42,00:21:18,41,1,12.9,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-29,13:37:41,15:05:07,01:27:26,00:00:00,51,1,13.02,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-29,16:06:51,17:44:22,01:37:31,01:01:44,27,1,13.69,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-29,17:46:14,19:43:40,01:57:26,00:01:52,28,1,16.23,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-29,19:57:52,21:17:49,01:19:57,00:14:12,32,1,13.7,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-29,21:44:31,23:52:41,02:08:10,00:26:42,4,1,12.79,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-29,Vehiculo: 09,,,14:51:47,02:38:12,287,"8,00",110.45,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
09,2024-07-30,07:06:05,08:11:05,01:05:00,00:00:00,41,1,8,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-30,10:07:50,11:50:51,01:43:01,01:56:45,32,1,14.1,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-30,12:09:33,14:52:02,02:42:29,00:18:42,22,1,14.83,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-30,15:59:14,18:05:40,02:06:26,01:07:12,57,1,14.64,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-30,18:12:49,20:05:46,01:52:57,00:07:09,44,1,15.41,85 4 HONDA - MINORISTA - HONDA,Ver
09,2024-07-30,20:05:46,21:30:32,01:24:46,00:00:00,32,1,15.15,85 1 HONDA - ORIENTAL - HONDA,Ver
09,2024-07-30,21:36:03,22:54:13,01:18:10,00:05:31,22,1,13.65,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-30,Vehiculo: 09,,,12:12:49,03:35:19,250,"7,00",95.78,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
10,2024-07-15,04:41:50,06:07:46,01:25:56,00:00:00,54,1,13.91,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-15,07:18:55,08:05:31,00:46:36,01:11:09,28,1,6.56,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-15,09:50:07,11:09:12,01:19:05,01:44:36,20,1,14.53,85 4 HONDA - MINORISTA - HONDA,Ver
10,2024-07-15,11:52:33,13:40:11,01:47:38,00:43:21,49,1,13.87,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-15,14:43:35,16:22:07,01:38:32,01:03:24,46,1,12.55,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-15,16:44:21,18:22:04,01:37:43,00:22:14,54,1,13.24,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-15,18:40:18,19:58:37,01:18:19,00:18:14,37,1,14.71,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-15,Vehiculo: 10,,,09:53:49,05:22:58,288,"7,00",89.37,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
10,2024-07-16,04:56:39,06:05:09,01:08:30,00:00:00,37,1,12.4,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-16,06:05:45,08:33:39,02:27:54,00:00:36,52,1,16.87,85 1 HONDA - ORIENTAL - HONDA,Ver
10,2024-07-16,09:44:18,11:37:29,01:53:11,01:10:39,17,1,14.83,85 4 HONDA - MINORISTA - HONDA,Ver
